,school_name,overall_rank,rank_public,us_public_rank,rank_diff
119,"Department of Economics, Indiana University-Purdue University (IUPUI)Indianapolis, Indiana (USA)",120,,,
120,"Economics & Finance Department, College of Business Administration, University of Texas-El PasoEl Paso, Texas (USA)",121,,,
121,"Economics Department, Bryan School of Business and Economics, University of North Carolina-GreensboroGreensboro, North Carolina (USA)",122,,,
122,"Department of Economics, Spears School of Business, Oklahoma State UniversityStillwater, Oklahoma (USA)",123,,,
123,"Department of Economics, University of New MexicoAlbuquerque, New Mexico (USA)",124,,,
124,"Economics Department, University of RichmondRichmond, Virginia (USA)",125,,,
125,"Department of Economics, Colgate UniversityHamilton, New York (USA)",126,,,
126,"Division of Economics and Business, Colorado School of MinesGolden, Colorado (USA)",127,,,
127,"Economics Department, Temple UniversityPhiladelphia, Pennsylvania (USA)",128,,,
128,"Department of Economics, Hankamer School of Business, Baylor UniversityWaco, Texas (USA)",129,,,
129,"Economics Department, College of Business, University of Nevada-RenoReno, Nevada (USA)",130,,,
130,"Economics Department, University of Maryland-Baltimore CountyBaltimore, Maryland (USA)",131,,,
131,"Department of Economics, Hunter College, City University of New York (CUNY)New York City, New York (USA)",132,,,
132,"Department of Economics, Florida International UniversityMiami, Florida (USA)",133,,,
133,"Department of Economics, University of Nebraska-OmahaOmaha, Nebraska (USA)",134,,,
134,"Economics Department, Amherst CollegeAmherst, Massachusetts (USA)",135,,,
135,"School of Economics, Georgia Institute of TechnologyAtlanta, Georgia (USA)",136,,,
