,schools,combined
126,"Division of Economics and Business, Colorado School of MinesGolden, Colorado (USA)",
127,"Department of Economics, Hankamer School of Business, Baylor UniversityWaco, Texas (USA)",
128,"Economics Department, Temple UniversityPhiladelphia, Pennsylvania (USA)",
129,"Department of Economics, Colgate UniversityHamilton, New York (USA)",
130,"Economics Department, College of Business, University of Nevada-RenoReno, Nevada (USA)",
131,"Department of Economics, Hunter College, City University of New York (CUNY)New York City, New York (USA)",
132,"Department of Economics, Florida International UniversityMiami, Florida (USA)",
133,"Department of Economics, University of Nebraska-OmahaOmaha, Nebraska (USA)",
134,"Department of Economics, Hamilton CollegeClinton, New York (USA)",
135,"School of Economics, Georgia Institute of TechnologyAtlanta, Georgia (USA)",
